5,9,3,7,1,7
5,9,3,7,3,7
5,9,3,7,3,9
5,9,3,7,11,7
5,9,3,7,11,17
5,9,3,7,13,7
5,9,3,7,13,9
5,9,3,7,13,17
5,9,3,7,13,19
5,9,3,9,3,7
5,9,3,9,3,9
5,9,3,9,5,9
5,9,3,9,13,7
5,9,3,9,13,9
5,9,3,9,13,17
5,9,3,9,13,19
5,9,3,9,15,9
5,9,3,9,15,19
5,9,5,9,3,7
5,9,5,9,3,9
5,9,5,9,5,9
5,9,5,9,13,7
5,9,5,9,13,9
5,9,5,9,13,17
5,9,5,9,13,19
5,9,5,9,15,9
5,9,5,9,15,19
5,9,13,7,1,7
5,9,13,7,3,7
5,9,13,7,3,9
5,9,13,7,11,7
5,9,13,7,11,17
5,9,13,7,13,7
5,9,13,7,13,9
5,9,13,7,13,17
5,9,13,7,13,19
5,9,13,9,3,7
5,9,13,9,3,9
5,9,13,9,5,9
5,9,13,9,13,7
5,9,13,9,13,9
5,9,13,9,13,17
5,9,13,9,13,19
5,9,13,9,15,9
5,9,13,9,15,19
5,9,13,17,11,7
5,9,13,17,11,17
5,9,13,17,13,7
5,9,13,17,13,9
5,9,13,17,13,17
5,9,13,17,13,19
5,9,13,17,21,17
5,9,13,17,23,17
5,9,13,17,23,19
5,9,13,19,13,7
5,9,13,19,13,9
5,9,13,19,13,17
5,9,13,19,13,19
5,9,13,19,15,9
5,9,13,19,15,19
5,9,13,19,23,17
5,9,13,19,23,19
5,9,13,19,25,19
5,9,15,9,3,7
5,9,15,9,3,9
5,9,15,9,5,9
5,9,15,9,13,7
5,9,15,9,13,9
5,9,15,9,13,17
5,9,15,9,13,19
5,9,15,9,15,9
5,9,15,9,15,19
5,9,15,19,13,7
5,9,15,19,13,9
5,9,15,19,13,17
5,9,15,19,13,19
5,9,15,19,15,9
5,9,15,19,15,19
5,9,15,19,23,17
5,9,15,19,23,19
5,9,15,19,25,19
